ROUTE_ID,ROUTE_NAME,ROUTE_NUMB,TIME_BLOCK,DATE,START_TIME,END_TIME,ROUTE_LENGTH_MIN,MAX_TEMP_RIDE,MIN_TEMP_RIDE,TEMP_RANGE_RIDE,AIRPORT_TIME,AIRPORT_TEMP,AIRPORT_HUMIDITY,AIRPORT_WIND_KH,AIRPORT_SUN,AIRPORT_TEMP_4HR,AIRPORT_MAXTEMP
Commute_84,Commute,84,Day,9/5/2016,17:09:41,17:33:04,23.38333333,30.32,28.03,2.29,16:53,29.4,55,11.1,Scattered clouds,29.4,30
Commute_9,Commute,9,Day,6/17/2016,17:29:09,17:54:19,25.16666667,29.81,27.08,2.73,17:53,27.8,44,13,Scattered clouds,28.05,29
EastSide_11,EastSide,11,Day,6/18/2016,16:53:45,17:19:40,25.91666667,30.36,26.91,3.45,16:53,28.9,35,16.1,Scattered clouds,28.75,29
EastSide_21,EastSide,21,Day,6/26/2016,14:53:31,15:17:03,23.53333333,31.35,28.62,2.73,14:53,30,37,14.8,Partly cloudy,28.875,30
EastSide_24,EastSide,24,Night,6/27/2016,23:00:41,23:27:06,26.41666667,22.36,19.76,2.6,22:53,19.4,66,14.8,Mostly Cloudy,20.675,27
EastSide_49,EastSide,49,Day,7/24/2016,16:18:14,16:42:16,24.03333333,32.66,29.65,3.01,16:53,31.1,67,11.1,Mostly Cloudy,31.8,32
EastSide_50,EastSide,50,Night,7/24/2016,23:05:58,23:34:26,28.46666667,25.84,23.8,2.04,22:53,24.4,71,9.3,Mostly Cloudy,25.7,32
EastSide_51,EastSide,51,Night,7/24/2016,23:05:53,23:34:28,28.58333333,25.99,23.62,2.37,22:53,24.4,71,9.3,Mostly Cloudy,25.7,32
EastSide_67,EastSide,67,Day,8/13/2016,17:56:26,18:22:55,26.48333333,27.21,23.95,3.26,17:53,26.1,58,13,Scattered clouds,26.25,27
EastSide_69,EastSide,69,Day,8/14/2016,16:22:36,16:49:24,26.8,29.07,23.88,5.19,16:53,27.2,52,16.1,Mostly Cloudy,27.5,28
EastSide_87,EastSide,87,Day,9/6/2016,14:56:56,15:22:39,25.71666667,31.26,27.76,3.5,14:53,30.6,63,7.4,Mostly Cloudy,29.575,31
EastSide_88,EastSide,88,Night,9/6/2016,21:24:31,21:47:31,23,27.52,25.28,2.24,21:53,27.8,74,7.4,Scattered clouds,27.925,31
Garner_2,Garner,2,Day,6/10/2016,14:53:14,15:30:46,37.53333333,32.92,29.18,3.74,14:53,31.7,55,22.2,Scattered clouds,30.125,32
Garner_37,Garner,37,Day,7/21/2016,16:26:02,17:02:26,36.4,34.67,30.68,3.99,16:53,33.9,59,13,Overcast,32.925,34
Garner_58,Garner,58,Day,7/26/2016,16:10:05,16:44:14,34.15,30.64,26.99,3.65,16:53,30,48,9.3,Partly cloudy,29.7,31
Garner_61,Garner,61,Day,8/3/2016,16:28:03,17:01:02,32.98333333,31.28,27.21,4.07,16:53,30,61,9.3,Mostly Cloudy,30.425,32
Garner_74,Garner,74,Day,8/22/2016,15:51:00,16:25:59,34.98333333,25.89,22.94,2.95,15:53,25,47,18.5,Partly cloudy,24.275,25
Garner_85,Garner,85,Day,9/5/2016,15:08:09,15:41:16,33.11666667,30.78,26.99,3.79,15:53,29.4,53,14.8,Scattered clouds,29.125,30
Hiestand_22,Hiestand,22,Day,6/26/2016,15:20:02,15:44:14,24.2,31.89,27.52,4.37,15:53,30,40,18.5,Partly cloudy,29.45,30
Hiestand_52,Hiestand,52,Day,7/24/2016,16:44:15,17:07:23,23.13333333,32.18,28.51,3.67,16:53,31.1,67,11.1,Mostly Cloudy,31.8,32
Hiestand_68,Hiestand,68,Day,8/13/2016,17:31:01,17:54:57,23.93333333,27.21,23.54,3.67,17:53,26.1,58,13,Scattered clouds,26.25,27
Hiestand_70,Hiestand,70,Day,8/14/2016,15:57:00,16:21:25,24.41666667,29.18,23.82,5.36,15:53,27.8,45,16.1,Mostly Cloudy,27.375,28
Hiestand_89,Hiestand,89,Day,9/6/2016,15:25:38,15:50:47,25.15,31.35,26.63,4.72,15:53,30.6,65,7.4,Mostly Cloudy,29.875,31
Isthmus_15,Isthmus,15,Night,6/19/2016,22:44:00,23:07:35,23.58333333,27.02,25.19,1.83,22:53,26.7,54,11.1,Partly cloudy,27.525,31
Isthmus_29,Isthmus,29,Day,7/11/2016,15:34:05,16:07:59,33.9,34.28,29.57,4.71,15:53,32.2,55,29.6,Mostly Cloudy,31.675,32
Isthmus_31,Isthmus,31,Day,7/17/2016,16:24:46,16:50:50,26.06666667,28.15,25.29,2.86,16:53,27.2,62,16.7,Mostly Cloudy,27.075,28
Isthmus_35,Isthmus,35,Day,7/19/2016,13:53:00,15:14:07,81.11666667,31.39,28.15,3.24,14:53,30,48,13,Mostly Cloudy,28.875,31
Isthmus_38,Isthmus,38,Day,7/21/2016,16:13:52,16:53:17,39.41666667,35.11,31.27,3.84,16:53,33.9,59,13,Overcast,32.925,34
Isthmus_4,Isthmus,4,Day,6/11/2016,13:52:50,14:23:40,30.83333333,31.18,26.75,4.43,13:53,29.4,59,9.3,Mostly Cloudy,27.35,31
Isthmus_45,Isthmus,45,Day,7/22/2016,17:37:40,18:09:00,31.33333333,32.29,28.11,4.18,17:53,31.7,65,Calm,Scattered clouds,31.15,32
Isthmus_46,Isthmus,46,Night,7/22/2016,23:27:15,0:01:05,33.83333333,28.84,26.58,2.26,23:53,26.1,94,Calm,Clear,26.675,32
Isthmus_72,Isthmus,72,Day,8/16/2016,15:49:35,16:22:42,33.11666667,29.54,25.64,3.9,15:53,28.3,54,9.3,Mostly Cloudy,28.175,29
Isthmus_76,Isthmus,76,Day,8/23/2016,15:40:21,16:11:59,31.63333333,28.42,23.9,4.52,15:53,26.1,52,27.8,Mostly Cloudy,26.125,27
Isthmus_81,Isthmus,81,Day,8/25/2016,15:36:40,16:14:10,37.5,27.31,24.2,3.11,15:53,25.6,54,13,Mostly Cloudy,25.725,27
Isthmus_82,Isthmus,82,Night,8/25/2016,23:04:01,23:37:45,33.73333333,21.9,20.31,1.59,22:53,20,81,Calm,Clear,21.125,27
ModifiedArb_19,ModifiedArb,19,Day,6/24/2016,15:21:54,15:43:57,22.05,28.33,24.37,3.96,15:53,27.2,47,13,Mostly Cloudy,26.55,28
ModifiedArb_47,ModifiedArb,47,Day,7/22/2016,16:29:12,16:51:31,22.31666667,32.14,27.63,4.51,16:53,31.7,65,5.6,Scattered clouds,30.575,32
ModifiedArb_66,ModifiedArb,66,Day,8/4/2016,16:08:18,16:30:11,21.88333333,32.34,27.54,4.8,15:53,30.6,59,14.8,Mostly Cloudy,30.3,31
NearEast_13,NearEast,13,Day,6/18/2016,16:54:55,17:22:38,27.71666667,31.02,27.72,3.3,16:53,28.9,35,16.1,Scattered clouds,28.75,29
NearEast_23,NearEast,23,Day,6/26/2016,14:54:05,15:18:33,24.46666667,31.21,28.23,2.98,14:53,30,37,14.8,Partly cloudy,28.875,30
NearEast_27,NearEast,27,Day,7/10/2016,18:07:20,18:24:55,17.58333333,27.48,24.92,2.56,17:53,26.1,60,35.2,Scattered clouds,25.825,27
NearEast_28,NearEast,28,Day,7/10/2016,18:26:14,18:58:57,32.71666667,26.51,24.43,2.08,18:53,25.6,62,35.2,Scattered clouds,26.125,27
NearEast_53,NearEast,53,Day,7/24/2016,16:20:10,16:50:00,29.83333333,32.59,29.3,3.29,16:53,31.1,67,11.1,Mostly Cloudy,31.8,32
NearEast_71,NearEast,71,Day,8/14/2016,15:20:15,15:48:59,28.73333333,29.71,25.87,3.84,15:53,27.8,45,16.1,Mostly Cloudy,27.375,28
NearEast_90,NearEast,90,Day,9/6/2016,16:01:00,16:31:18,30.3,32.47,29.51,2.96,15:53,30.6,65,7.4,Mostly Cloudy,29.875,31
ResearchPark_59,ResearchPark,59,Day,7/26/2016,16:46:34,17:14:46,28.2,29.8,26.65,3.15,16:53,30,48,9.3,Partly cloudy,29.7,31
ResearchPark_62,ResearchPark,62,Day,8/3/2016,17:02:27,17:31:00,28.55,30.78,27.31,3.47,16:53,30,61,9.3,Mostly Cloudy,30.425,32
ResearchPark_75,ResearchPark,75,Day,8/22/2016,16:27:25,16:55:44,28.31666667,25.96,23.94,2.02,16:53,24.4,48,13,Partly cloudy,24.55,25
ResearchPark_86,ResearchPark,86,Day,9/5/2016,15:43:19,16:14:18,30.98333333,30.24,28.77,1.47,15:53,29.4,53,14.8,Scattered clouds,29.125,30
