"Plot Title: 21119950"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21119950, SEN S/N: 21119950)","Coupler Attached (LGR S/N: 21119950)","Coupler Detached (LGR S/N: 21119950)","Host Connected (LGR S/N: 21119950)","End Of File (LGR S/N: 21119950)"
43,09/26/21 07:00:00 AM,13.942,,,,
44,09/26/21 08:00:00 AM,14.613,,,,
45,09/26/21 09:00:00 AM,15.091,,,,
46,09/26/21 10:00:00 AM,15.951,,,,
47,09/26/21 11:00:00 AM,16.713,,,,
48,09/26/21 12:00:00 PM,18.711,,,,
49,09/26/21 01:00:00 PM,18.140,,,,
50,09/26/21 02:00:00 PM,18.616,,,,
51,09/26/21 03:00:00 PM,17.094,,,,
52,09/26/21 04:00:00 PM,15.569,,,,
53,09/26/21 05:00:00 PM,15.091,,,,
54,09/26/21 06:00:00 PM,14.900,,,,
55,09/26/21 07:00:00 PM,13.846,,,,
56,09/26/21 08:00:00 PM,14.134,,,,
57,09/26/21 09:00:00 PM,14.517,,,,
58,09/26/21 10:00:00 PM,15.187,,,,
59,09/26/21 11:00:00 PM,16.523,,,,
60,09/27/21 12:00:00 AM,16.237,,,,
61,09/27/21 01:00:00 AM,15.951,,,,
62,09/27/21 02:00:00 AM,15.473,,,,
63,09/27/21 03:00:00 AM,14.230,,,,
64,09/27/21 04:00:00 AM,13.750,,,,
65,09/27/21 05:00:00 AM,13.558,,,,
66,09/27/21 06:00:00 AM,12.787,,,,
67,09/27/21 07:00:00 AM,12.110,,,,
68,09/27/21 08:00:00 AM,13.173,,,,
69,09/27/21 09:00:00 AM,14.038,,,,
70,09/27/21 10:00:00 AM,12.980,,,,
71,09/27/21 11:00:00 AM,13.173,,,,
72,09/27/21 12:00:00 PM,12.883,,,,
73,09/27/21 01:00:00 PM,13.461,,,,
74,09/27/21 02:00:00 PM,14.613,,,,
75,09/27/21 03:00:00 PM,15.282,,,,
76,09/27/21 04:00:00 PM,15.378,,,,
77,09/27/21 05:00:00 PM,15.569,,,,
78,09/27/21 06:00:00 PM,15.282,,,,
79,09/27/21 07:00:00 PM,12.690,,,,
80,09/27/21 08:00:00 PM,12.401,,,,
81,09/27/21 09:00:00 PM,12.110,,,,
82,09/27/21 10:00:00 PM,11.722,,,,
83,09/27/21 11:00:00 PM,12.207,,,,
84,09/28/21 12:00:00 AM,11.819,,,,
85,09/28/21 01:00:00 AM,11.722,,,,
86,09/28/21 02:00:00 AM,11.528,,,,
87,09/28/21 03:00:00 AM,11.139,,,,
88,09/28/21 04:00:00 AM,10.748,,,,
89,09/28/21 05:00:00 AM,10.748,,,,
90,09/28/21 06:00:00 AM,10.944,,,,
91,09/28/21 07:00:00 AM,11.139,,,,
92,09/28/21 08:00:00 AM,11.916,,,,
93,09/28/21 09:00:00 AM,13.173,,,,
94,09/28/21 10:00:00 AM,14.325,,,,
95,09/28/21 11:00:00 AM,15.760,,,,
96,09/28/21 12:00:00 PM,16.523,,,,
97,09/28/21 01:00:00 PM,17.094,,,,
98,09/28/21 02:00:00 PM,14.038,,,,
99,09/28/21 03:00:00 PM,14.996,,,,
100,09/28/21 04:00:00 PM,15.760,,,,
101,09/28/21 05:00:00 PM,16.332,,,,
102,09/28/21 06:00:00 PM,14.517,,,,
103,09/28/21 07:00:00 PM,13.461,,,,
104,09/28/21 08:00:00 PM,12.883,,,,
105,09/28/21 09:00:00 PM,12.207,,,,
106,09/28/21 10:00:00 PM,12.110,,,,
107,09/28/21 11:00:00 PM,11.819,,,,
108,09/29/21 12:00:00 AM,11.528,,,,
109,09/29/21 01:00:00 AM,11.625,,,,
110,09/29/21 02:00:00 AM,11.722,,,,
111,09/29/21 03:00:00 AM,11.819,,,,
112,09/29/21 04:00:00 AM,11.819,,,,
113,09/29/21 05:00:00 AM,11.431,,,,
114,09/29/21 06:00:00 AM,11.041,,,,
115,09/29/21 07:00:00 AM,12.207,,,,
116,09/29/21 08:00:00 AM,12.690,,,,
117,09/29/21 09:00:00 AM,13.173,,,,
118,09/29/21 10:00:00 AM,13.654,,,,
119,09/29/21 11:00:00 AM,14.230,,,,
120,09/29/21 12:00:00 PM,14.804,,,,
121,09/29/21 01:00:00 PM,15.187,,,,
122,09/29/21 02:00:00 PM,14.709,,,,
123,09/29/21 03:00:00 PM,15.091,,,,
124,09/29/21 04:00:00 PM,15.473,,,,
125,09/29/21 05:00:00 PM,14.996,,,,
126,09/29/21 06:00:00 PM,14.517,,,,
127,09/29/21 07:00:00 PM,13.558,,,,
128,09/29/21 08:00:00 PM,14.038,,,,
129,09/29/21 09:00:00 PM,14.804,,,,
130,09/29/21 10:00:00 PM,15.091,,,,
131,09/29/21 11:00:00 PM,14.230,,,,
132,09/30/21 12:00:00 AM,13.942,,,,
133,09/30/21 01:00:00 AM,13.558,,,,
134,09/30/21 02:00:00 AM,13.461,,,,
135,09/30/21 03:00:00 AM,13.365,,,,
136,09/30/21 04:00:00 AM,13.558,,,,
137,09/30/21 05:00:00 AM,14.134,,,,
138,09/30/21 06:00:00 AM,14.900,,,,
139,09/30/21 07:00:00 AM,15.091,,,,
140,09/30/21 08:00:00 AM,15.855,,,,
141,09/30/21 09:00:00 AM,16.618,,,,
142,09/30/21 10:00:00 AM,14.709,,,,
143,09/30/21 11:00:00 AM,14.325,,,,
144,09/30/21 12:00:00 PM,13.558,,,,
145,09/30/21 01:00:00 PM,13.654,,,,
146,09/30/21 02:00:00 PM,13.365,,,,
147,09/30/21 03:00:00 PM,12.690,,,,
148,09/30/21 04:00:00 PM,13.365,,,,
149,09/30/21 05:00:00 PM,15.282,,,,
150,09/30/21 06:00:00 PM,14.996,,,,
151,09/30/21 07:00:00 PM,13.076,,,,
152,09/30/21 08:00:00 PM,12.304,,,,
153,09/30/21 09:00:00 PM,11.722,,,,
154,09/30/21 10:00:00 PM,11.625,,,,
155,09/30/21 11:00:00 PM,12.207,,,,
156,10/01/21 12:00:00 AM,12.110,,,,
157,10/01/21 01:00:00 AM,12.207,,,,
158,10/01/21 02:00:00 AM,12.110,,,,
159,10/01/21 03:00:00 AM,11.916,,,,
160,10/01/21 04:00:00 AM,11.916,,,,
161,10/01/21 05:00:00 AM,11.819,,,,
162,10/01/21 06:00:00 AM,11.625,,,,
163,10/01/21 07:00:00 AM,11.236,,,,
164,10/01/21 08:00:00 AM,10.455,,,,
165,10/01/21 09:00:00 AM,12.690,,,,
166,10/01/21 10:00:00 AM,14.230,,,,
167,10/01/21 11:00:00 AM,15.378,,,,
168,10/01/21 12:00:00 PM,16.141,,,,
169,10/01/21 01:00:00 PM,17.189,,,,
170,10/01/21 02:00:00 PM,17.855,,,,
171,10/01/21 03:00:00 PM,17.189,,,,
172,10/01/21 04:00:00 PM,16.999,,,,
173,10/01/21 05:00:00 PM,16.903,,,,
174,10/01/21 06:00:00 PM,15.760,,,,
175,10/01/21 07:00:00 PM,13.269,,,,
176,10/01/21 08:00:00 PM,12.304,,,,
177,10/01/21 09:00:00 PM,11.625,,,,
178,10/01/21 10:00:00 PM,10.846,,,,
179,10/01/21 11:00:00 PM,10.063,,,,
180,10/02/21 12:00:00 AM,8.879,,,,
181,10/02/21 01:00:00 AM,8.978,,,,
182,10/02/21 02:00:00 AM,8.082,,,,
183,10/02/21 03:00:00 AM,7.481,,,,
184,10/02/21 04:00:00 AM,7.280,,,,
185,10/02/21 05:00:00 AM,7.179,,,,
186,10/02/21 06:00:00 AM,7.682,,,,
187,10/02/21 07:00:00 AM,7.882,,,,
188,10/02/21 08:00:00 AM,8.581,,,,
189,10/02/21 09:00:00 AM,9.571,,,,
190,10/02/21 10:00:00 AM,13.173,,,,
191,10/02/21 11:00:00 AM,13.846,,,,
192,10/02/21 12:00:00 PM,16.808,,,,
193,10/02/21 01:00:00 PM,18.901,,,,
194,10/02/21 02:00:00 PM,21.569,,,,
195,10/02/21 03:00:00 PM,20.138,,,,
196,10/02/21 04:00:00 PM,20.043,,,,
197,10/02/21 05:00:00 PM,20.234,,,,
198,10/02/21 06:00:00 PM,19.282,,,,
199,10/02/21 07:00:00 PM,16.808,,,,
200,10/02/21 08:00:00 PM,14.613,,,,
201,10/02/21 09:00:00 PM,13.365,,,,
202,10/02/21 10:00:00 PM,13.173,,,,
203,10/02/21 11:00:00 PM,12.690,,,,
204,10/03/21 12:00:00 AM,12.304,,,,
205,10/03/21 01:00:00 AM,12.207,,,,
206,10/03/21 02:00:00 AM,12.401,,,,
207,10/03/21 03:00:00 AM,12.497,,,,
208,10/03/21 04:00:00 AM,12.594,,,,
209,10/03/21 05:00:00 AM,12.594,,,,
210,10/03/21 06:00:00 AM,12.690,,,,
211,10/03/21 07:00:00 AM,12.594,,,,
212,10/03/21 08:00:00 AM,12.594,,,,
213,10/03/21 09:00:00 AM,12.497,,,,
214,10/03/21 10:00:00 AM,12.497,,,,
215,10/03/21 11:00:00 AM,12.980,,,,
216,10/03/21 12:00:00 PM,13.365,,,,
217,10/03/21 01:00:00 PM,14.517,,,,
218,10/03/21 02:00:00 PM,14.134,,,,
219,10/03/21 03:00:00 PM,13.750,,,,
220,10/03/21 04:00:00 PM,14.613,,,,
221,10/03/21 05:00:00 PM,13.942,,,,
222,10/03/21 06:00:00 PM,13.461,,,,
223,10/03/21 07:00:00 PM,12.980,,,,
224,10/03/21 08:00:00 PM,12.690,,,,
225,10/03/21 09:00:00 PM,10.846,,,,
226,10/03/21 10:00:00 PM,11.625,,,,
227,10/03/21 11:00:00 PM,11.625,,,,
228,10/04/21 12:00:00 AM,11.819,,,,
229,10/04/21 01:00:00 AM,11.625,,,,
230,10/04/21 02:00:00 AM,11.236,,,,
231,10/04/21 03:00:00 AM,11.334,,,,
232,10/04/21 04:00:00 AM,11.334,,,,
233,10/04/21 05:00:00 AM,11.236,,,,
234,10/04/21 06:00:00 AM,11.334,,,,
235,10/04/21 07:00:00 AM,11.334,,,,
236,10/04/21 08:00:00 AM,11.334,,,,
237,10/04/21 09:00:00 AM,11.625,,,,
238,10/04/21 10:00:00 AM,11.819,,,,
239,10/04/21 11:00:00 AM,13.076,,,,
240,10/04/21 12:00:00 PM,16.618,,,,
241,10/04/21 01:00:00 PM,16.618,,,,
242,10/04/21 02:00:00 PM,15.473,,,,
243,10/04/21 03:00:00 PM,16.618,,,,
244,10/04/21 03:54:35 PM,,Logged,,,
245,10/04/21 03:54:55 PM,,,Logged,,
246,10/04/21 03:55:09 PM,,Logged,,,
247,10/04/21 03:55:31 PM,,,Logged,,
248,10/04/21 03:56:16 PM,,Logged,,,
249,10/04/21 03:56:29 PM,,,,Logged,Logged
